BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
16.01.2022;05:45;CET;17.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;365,48;380;6670;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;Konventionell
16.01.2022;07:45;CET;16.01.2022;20:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;106,53;120;1305;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;Konventionell
16.01.2022;08:00;CET;16.01.2022;14:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;242,88;300;1518;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Farge;Konventionell
16.01.2022;13:00;CET;17.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;426;450;4688;Amprion;TenneT DE;Netzreservekraftwerk Bexbach/A;Konventionell
16.01.2022;19:00;CET;16.01.2022;20:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;110;140;110;TenneT DE;TenneT DE;Staudinger 5;Konventionell
17.01.2022;00:00;CET;17.01.2022;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;76,67;80;460;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (SWM);Konventionell
17.01.2022;00:00;CET;17.01.2022;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;77,5;80;465;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (Uniper);Konventionell
17.01.2022;00:00;CET;17.01.2022;07:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;58,46;100;190;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;Konventionell
17.01.2022;00:00;CET;17.01.2022;11:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;384;620;4420;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Netzreservekraftwerk Bexbach/A;Konventionell
17.01.2022;00:00;CET;17.01.2022;12:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;289,86;500;3550,75;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;Konventionell
17.01.2022;00:00;CET;17.01.2022;22:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;60;110;1070;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;VOELKLINGEN_MKV;Konventionell
17.01.2022;00:45;CET;17.01.2022;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;260;300;1365;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Staudinger 5;Konventionell
17.01.2022;04:45;CET;17.01.2022;18:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;279;375;3698;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;EMSLAND_DTC0;Konventionell
17.01.2022;07:00;CET;17.01.2022;22:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;397;500;5950;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Netzreservekraftwerk Weiher/C;Konventionell
17.01.2022;11:30;CET;17.01.2022;15:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;9;10;33;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;HKW-OF-EVO;Konventionell
17.01.2022;13:00;CET;17.01.2022;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;276,83;340;2768,25;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Farge;Konventionell
17.01.2022;15:00;CET;17.01.2022;21:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;30;30;180;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;VoelklingenGT;Konventionell
17.01.2022;21:00;CET;17.01.2022;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;117,5;140;235;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Zolling 5;Konventionell
17.01.2022;21:00;CET;18.01.2022;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;339,17;480;1017,5;TenneT DE;TenneT DE;ReserveKW Heyden;Konventionell
17.01.2022;22:00;CET;18.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;191,25;260;382,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (Uniper);Konventionell
18.01.2022;00:00;CET;18.01.2022;23:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;486,96;600;11200;TenneT DE;TenneT DE;ReserveKW Heyden;Konventionell
