mastr_id,Anzeigename,norm_name,Energietraeger,Nettonennleistung_MW,Postleitzahl,Ort
SEE908238702164,Turboeinheit 1 Dampfturbine 60 t Gen 10 MW,turboeinheit 1 dampfturbine 60 t gen 10 mw,Erdgas,9.4,13353,Berlin
SEE909438607068,IPH Strom VT3,iph strom vt3,Erdgas,12.9,65929,Frankfurt
SEE910326850336,Regensburg KWK 1,regensburg kwk 1,Erdgas,2.678,93055,Regensburg
SEE912155078967,"GG III 8.111,04 kWp (Teil I) Speicher",gg iii 8 111 04 kwp speicher,Batteriespeicher,3.0,19372,Groß Godems
SEE918067363207,Happurg F4,happurg f4,Pumpspeicher,40.0,91230,Happurg
SEE918483749111,Müden Maschine 3,müden maschine 3,Wasser,4.1,56254,Müden
SEE918609979057,Heizkraftwerk Leipzig Süd GTA 9A,heizkraftwerk leipzig süd gta 9a,Erdgas,66.321,04279,Leipzig
SEE904859529197,ZF-FRD-W04-G32-Prüfstand-B03,zf-frd-w04-g32-prüfstand-b03,Mineraloelprodukte,1.756,88046,Friedrichshafen
SEE908040387344,BHKW1,bhkw1,Erdgas,1.9805,63225,Langen
SEE912681231416,Anlage 2009,anlage 2009,Biomasse,2.578,04860,Torgau
SEE923480872250,PSW Geesthacht PSS B,psw geesthacht pss b,Pumpspeicher,39.7,21502,Geesthacht
SEE900295294101,BHKW Obere Viehweide M4 (Waldhäuser Str 100),bhkw obere viehweide m4,Erdgas,3.233,72076,Tübingen
SEE907370296296,MKW SAD Turbine 5,mkw sad turbine 5,Abfall,30.0,92421,Schwandorf
SEE909007092769,Merching K(Ro)1,merching k 1,Wasser,4.0,86504,Merching
SEE911671792326,Emsland D GT1,emsland d gt1,Erdgas,293.5,49808,Lingen
SEE913556136355,Rheinfelden Dampfturbine,rheinfelden dampfturbine,Erdgas,6.43,79618,Rheinfelden
SEE901925227438,DT,dt,Erdgas,6.358,33332,Gütersloh
SEE903949785369,Vianden M5,vianden m5,Pumpspeicher,100.0,9463,Stolzembourg
SEE904819420762,HKW Mitte Gasturbine 1,hkw mitte gasturbine 1,Erdgas,164.0,10179,Berlin
SEE905930139120,Big Battery Lausitz,big battery lausitz,Batteriespeicher,66.0,03130,Spremberg
SEE908495409905,KW Waldshut MS B6,kw waldshut ms b6,Pumpspeicher,44.0,79761,Waldshut-Tiengen
SEE913862454280,Hybridregelkraftwerk,hybridregelkraftwerk,Batteriespeicher,18.0,28207,Bremen
SEE914662265496,Dampfturbine AEG Kanis,dampfturbine aeg kanis,Waerme,5.47,73312,Geislingen
SEE914187135533,Maschine 2,maschine 2,Mineraloelprodukte,11.3,76187,Karlsruhe
